"site","year","daynum.tenth","daynum.median","daynum.nintieth","daynum.mean","daynum.range"
16,2001,93,114,136,119.092490617162,43
16,2002,101,127,150,128.240535161388,49
16,2003,96,113,134,118.304761920164,38
16,2004,96,121,143,124.447999979475,47
16,2005,97,120,142,122.384078190454,45
16,2006,95,114,143,118.622320540299,48
16,2007,102,129,159,133.527777786991,57
16,2008,105,130,151,130.645516081302,46
16,2009,88,122,141,122.35075884418,53
16,2011,93,127,150,127.795283018867,57
16,2013,100,123,142,125.821720790796,42
16,2014,85,113,137,114.801723603776,52
16,2015,85,121,151,122.482193715426,66
17,1976,81,99,115,101.695129066446,34
17,1977,93,114,142,119.336975940639,49
17,1978,88,109,133,111.725398139201,45
17,1979,85,105,133,113.917823131394,48
17,1980,76,104,132,107.299526464926,56
17,1981,96,109,133,114.743801735368,37
17,1982,81,102,123,107.393797106286,42
17,1983,87,107,121,110.148950712987,34
17,1984,84,105,127,109.330472691066,43
17,1985,98,111,144,119.427288827247,46
17,1986,88,111,139,118.50983932672,51
17,1987,89,109,130,111.943317694171,41
17,2011,81,115,144,113.959217888341,63
17,2013,95,112,137,117.291650945909,42
17,2014,85,109,137,114.125778563255,52
17,2015,85,116,141,116.481710811971,56
18,1976,76,86,97,90.2462569542634,21
18,1977,110,124,135,125.62569449672,25
18,1978,98,123,127,117.96724492623,29
18,1979,97,115,133,120.180408589273,36
18,1980,66,112,149,111.370208376974,83
18,1981,97,111,134,116.530700640307,37
18,1982,77,94,114,98.962275278544,37
18,1983,98,107,122,111.414467684283,24
18,1984,92,113,120,113.798640715849,28
18,1985,103,125,143,125.561630032541,40
19,1976,74,101,122,101.942018277504,48
19,1977,102,114,145,121.978440828729,43
19,1978,98,115,135,116.28558397035,37
19,1979,101,122,134,123.210156383455,33
19,1980,88,113,143,116.107063614563,55
19,1981,101,121,147,123.238079436535,46
19,1982,89,109,139,112.646341255107,50
19,1983,100,117,129,117.864965774899,29
19,1984,95,110,123,113.068340211645,28
19,1985,101,122,151,129.712200071313,50
19,1986,104,120,127,119.93481247047,23
19,1987,94,109,131,113.491141503996,37
19,1988,91,106,117,107.365853658535,26
19,1989,73,87,108,94.6014084055296,35
19,1990,84,109,139,110.846169080916,55
19,1991,95,113,134,118.507852755055,39
19,1992,88,105,137,112.917068864132,49
19,1993,95,109,128,113.476297326971,33
19,1994,88,102,128,110.236573646378,40
19,1995,98,103,133,112.633331009155,35
19,1996,98,108,130,115.43423617231,32
19,1997,84,102,126,107.691797245845,42
19,1998,89,109,129,115.05660346194,40
19,1999,87,114,134,113.605154740225,47
19,2000,92,116,133,118.829357100061,41
19,2001,72,100,132,107.117208832704,60
19,2002,79,113,153,116.836528384084,74
19,2003,95,114,137,121.597278592991,42
19,2004,80,114,154,117.214174428263,74
19,2005,89,102,131,111.586280528607,42
19,2006,77,111,137,112.133120640095,60
19,2007,80,129,171,131.197638947568,91
19,2008,85,103,115,105.786664816518,30
19,2009,67,111,140,109.12676431929,73
19,2011,67,95,124,97.3994274595254,57
19,2013,92,120,141,122.105904822559,49
19,2014,92,106,113,107.307679891889,21
19,2015,80,101,122,104.757575675891,42
20,1976,70,85,102,88.298633762271,32
20,1977,74,96,123,102.866322978436,49
20,1978,108,108,115,114.999999999976,7
20,1979,72,108,143,110.705988795616,71
20,1980,90,113,132,115.282931867543,42
20,1981,103,124,145,126.17014064139,42
20,1983,74,110,137,111.218559412476,63
20,1984,96,114,128,116.581927457432,32
20,1985,95,114,130,118.979249422179,35
20,2014,81,106,123,109.102772146577,42
21,1976,82,87,108,95.4138385468902,26
21,1977,102,121,137,122.362044385183,35
21,1978,95,112,133,113.442873702419,38
21,1979,88,107,132,108.82379410105,44
21,1980,90,113,130,112.830060580469,40
21,1981,91,99,127,107.970265758451,36
21,1982,77,104,128,106.22393213632,51
21,1983,96,106,127,112.624920926779,31
21,1984,92,100,136,111.151403589628,44
21,1985,98,109,127,113.651150355715,29
21,1986,89,108,135,112.684381075144,46
21,1987,92,108,136,114.625603127931,44
21,1988,86,107,127,110.012922340835,41
21,1989,78,94,120,99.9878624326279,42
21,1990,78,99,123,104.184967448461,45
21,1991,96,108,134,115.707131189932,38
21,1992,81,100,128,107.08513510147,47
21,1993,84,97,113,100.026987067461,29
21,1994,84,96,118,103.040160107413,34
21,1995,81,95,122,103.431260111038,41
21,1996,86,109,127,111.519456040424,41
21,1997,88,111,130,111.925011421291,42
21,1998,88,111,132,112.086043759713,44
21,1999,77,95,128,103.254468196567,51
21,2000,80,95,124,105.543150803385,44
21,2001,83,111,136,113.477914209086,53
21,2002,78,106,137,112.037686613988,59
21,2003,78,101,125,102.906160603197,47
21,2004,81,104,129,108.220650515641,48
21,2005,87,101,128,107.163604222768,41
21,2006,90,108,120,107.756487931797,30
21,2007,80,101,129,106.036027891948,49
21,2013,96,129,165,132.553433171319,69
21,2014,79,102,114,105.357659398269,35
21,2015,39,95,151,99.5846117079911,112
22,1976,86,103,114,105.869005840425,28
22,1977,102,119,134,119.894611232227,32
22,1978,88,115,139,117.073160057686,51
22,1979,102,130,158,131.262336076264,56
22,1980,99,119,137,119.399168031247,38
22,1981,98,122,150,127.16529147143,52
22,1983,103,116,131,116.695651931179,28
22,1984,88,108,130,111.746600483389,42
23,1976,83,105,118,105.921880234041,35
23,1977,95,119,144,122.772638844102,49
23,1978,80,105,113,102.879224859321,33
23,1979,95,103,117,110.057106780581,22
23,1980,55,120,172,119.481731053919,117
23,1981,98,118,151,125.41347251681,53
23,1982,72,95,114,97.5519626478091,42
23,1983,81,102,125,107.114865206111,44
23,1984,77,104,130,108.406279445336,53
23,1985,87,122,158,122.461548000817,71
23,1986,106,119,142,125.897361600983,36
23,1988,88,115,137,115.887897052105,49
23,1989,77,95,123,101.231034849387,46
23,1990,73,94,124,99.8674250396163,51
23,1991,89,119,134,119.343969552058,45
23,1992,79,105,129,106.780534113201,50
23,1993,78,92,121,103.120762954761,43
23,1994,90,102,131,110.827171297279,41
23,1995,76,98,115,99.1365734349869,39
23,1996,86,106,129,112.312913423184,43
23,1997,77,99,120,104.3887830013,43
23,1998,80,104,132,108.855415681204,52
23,1999,81,108,127,109.685782134278,46
23,2000,87,109,133,111.654229613383,46
23,2001,89,103,132,109.7602118953,43
23,2002,95,117,142,119.771107010425,47
23,2003,85,109,128,111.520547705872,43
23,2004,72,102,132,105.184159869338,60
23,2005,88,117,137,115.534192430268,49
23,2006,91,104,131,111.435360088375,40
23,2007,81,109,138,113.112112465606,57
23,2008,87,114,137,117.17803941328,50
23,2009,83,99,138,107.51543544007,55
24,1976,80,99,136,105.870889327862,56
24,1977,93,107,134,112.821189571616,41
24,1978,95,120,148,125.197574436188,53
24,1979,95,117,137,119.622900778938,42
