SITENO,GRIDREF,EAST,NORTH,LATITUDE,LONGITUDE,LENGTH,COUNTRY,COUNTY,HABITAT1,HABITAT2
1011,SU430227,443000,122700,51.0015398292547,-1.38711753151962,2400,England,Hampshire,Seasonally wet and wet marshy grasslands,Mature broadleaved woodland
1013,SU45801620,445800,116200,50.9428708977421,-1.34803051893874,2450,England,Hampshire,Seasonally wet and wet marshy grasslands,
1014,SU36401490,436400,114900,50.9318503077665,-1.48196415735292,3729,England,Hampshire,Seasonally wet and wet marshy grasslands,Marine saltmarshes/estuaries/saline reedbeds
1016,SU50502920,450500,129200,51.0593816034176,-1.27932182073858,1950,England,Hampshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,Dry scrub/shrub thickets
1017,SU51502920,451500,129200,51.0592927517687,-1.26505221052074,1600,England,Hampshire,Agriculturally improved/re-seeded/ heavily fertilised grassland,Dry scrub/shrub thickets
1018,SU03402030,403400,120300,50.9815533177689,-1.95156052487493,1465,England,Hampshire,Dry scrub/shrub thickets,Dry semi/unimproved (flower rich) chalk/limestone grassland
1019,SU04501900,404500,119000,50.9698544673956,-1.93590503520852,1375,England,Hampshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,-2
1021,SU64902290,464900,122900,51.0012841416672,-1.07497548369842,1500,England,Hampshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,Agriculturally improved/re-seeded/ heavily fertilised grassland
1022,SU74103200,474100,132000,51.0819968197776,-0.942007360742224,2383,England,Hampshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,Dry scrub/shrub thickets
1023,SU71201860,471200,118600,50.9618736493872,-0.986038135860215,2000,England,Hampshire,Dry semi/unimproved (flower rich) chalk/limestone grassland,Mature coniferous woodland
